event_id,event_date,event_name,country_region,category,agri_relevance,source_name,source_url,include
FRA_MUNICIPAL_R1_2026,2026-03-15,France municipal elections — first round,France / EU,Election,"Moderate: EU political barometer; possible policy, EUR/USD, and broader risk-sentiment read-through.",Reuters,https://www.reuters.com/world/what-you-need-know-about-frances-local-elections-2026-03-05/,True
FRA_MUNICIPAL_R2_2026,2026-03-22,France municipal elections — second round,France / EU,Election,Moderate: local election as national political signal ahead of 2027; possible EU policy/risk read-through.,Reuters,https://www.reuters.com/world/what-you-need-know-about-frances-local-elections-2026-03-05/,True
PERU_GENERAL_2026,2026-04-12,Peru general election,Peru,Election,Low-to-moderate: Latin America political-risk marker; likely regional sentiment more than direct agri ETF channel.,ONPE,https://www.gob.pe/institucion/onpe/campa%C3%B1as/104066-elecciones-generales-2026,True
COL_PRES_R1_2026,2026-05-31,Colombia presidential election — first round,Colombia,Election,"Moderate: Colombia is relevant to soft-commodity/political-risk monitoring, though not directly mapped to the listed ETFs.",Registraduría Nacional,https://www.registraduria.gov.co/Elecciones-2026,True
COL_PRES_R2_2026,2026-06-21,Colombia presidential election — second round,Colombia,Election,Moderate: political outcome may influence regional risk sentiment.,Registraduría Nacional,https://www.registraduria.gov.co/Elecciones-2026,True
BRAZIL_GENERAL_R1_2026,2026-10-04,Brazil general election — first round,Brazil,Election,"High: Brazil is central to soybeans, corn, sugar, and global agri trade. Watch SOYB, CORN, CANE, DBA.",Tribunal Superior Eleitoral,https://www.tse.jus.br/legislacao/compilada/res/2026/resolucao-no-23-751-de-26-de-fevereiro-de-2026,True
BRAZIL_GENERAL_R2_2026,2026-10-25,Brazil general election — second round if required,Brazil,Election,"High: second-round result could matter for agri export policy, currency expectations, and soft/grain markets.",Tribunal Superior Eleitoral,https://www.tse.jus.br/legislacao/compilada/res/2026/resolucao-no-23-751-de-26-de-fevereiro-de-2026,True
US_MIDTERMS_2026,2026-11-03,United States congressional general election / midterms,United States,Election,"High: US trade policy, ethanol/biofuels, farm policy, fiscal policy, USD, and China trade expectations can affect agri ETFs.",FEC,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2026-reporting-dates/electioneering-communications-periods-congressional-primaries-2026/,True
COP31_2026,2026-11-09,UN Climate Change Conference COP31 — start,"Antalya, Türkiye / Global",Climate policy,"Moderate-to-high: climate policy, land use, food security, biofuels, and carbon policy can influence agriculture narratives.",UNFCCC,https://unfccc.int/cop31,True
G20_MIAMI_2026,2026-12-14,G20 Leaders' Summit — start,United States / Global,Summit,"High: global trade, energy, regulation, and supply-chain policy agenda. Watch DBC, UUP, USO context around agri ETFs.",US Department of State,https://www.state.gov/releases/office-of-the-spokesperson/2025/12/united-states-hosts-first-g20-sherpa-meeting/,True
